Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02,21.37034748610569,21.37034748610569,20.99715229561023,21.118276596069336,1416627,0.0,0.0
2018-01-03,21.213212131512893,21.383439022560893,21.173926767710483,21.259042739868164,454050,0.0,0.0
2018-01-04,21.396539910292507,21.946512401219167,21.376897855142673,21.926870346069336,1385247,0.0,0.0
2018-01-05,21.959604021675812,22.254232269625398,21.87448930678521,22.221494674682617,584567,0.0,0.0
2018-01-08,22.260779431760223,22.32625209693486,22.03162384033203,22.03162384033203,509748,0.0,0.0
2018-01-09,22.06435927145777,22.280421849374825,21.998889131843363,22.156023025512695,958316,0.0,0.0
2018-01-10,22.129832654286748,22.23458941704265,22.070906501492722,22.21494483947754,3635792,0.0,0.0
2018-01-11,22.241139844630705,22.254235389770646,21.88758539219448,21.972700119018555,608548,0.0,0.0
2018-01-12,21.95960418035042,22.175664223305617,21.848298378047787,22.038169860839844,664739,0.0,0.0
2018-01-15,22.051265840906872,22.064358857930777,21.835205793673165,21.920320510864258,700494,0.0,0.0
2018-01-16,21.959603848478096,22.25423209410392,21.822109488090256,22.24113655090332,396507,0.0,0.0
2018-01-17,22.16911688578387,22.25423413444081,22.025078530540608,22.110193252563477,578287,0.0,0.0
2018-01-18,22.129831173726558,22.221492387517863,21.992336826405996,22.09709358215332,349086,0.0,0.0
2018-01-19,22.03816743330165,22.15601973100499,21.946506219510344,22.09709358215332,1532781,0.0,0.0
2018-01-22,22.17953322133425,22.39190490273289,22.166259030833668,22.252534866333008,629579,0.449,0.0
2018-01-23,22.3122685015894,22.36536015000108,22.15962681102808,22.179536819458008,555045,0.0,0.0
2018-01-24,22.16626073892162,22.19944493717929,21.933979034423828,21.933979034423828,672618,0.0,0.0
2018-01-25,21.900796527357365,22.106532401738267,21.668514832085922,21.834430694580078,716136,0.0,0.0
2018-01-26,21.82116107157579,21.907436928357242,21.61542771522901,21.748159408569336,699874,0.0,0.0
2018-01-29,21.781338126238488,21.900798170863393,21.568966420973368,21.655244827270508,1336967,0.0,0.0
2018-01-30,21.502602992387224,21.622060475066018,21.30350291941916,21.389780044555664,1972517,0.0,0.0
2018-01-31,21.349960829224553,21.52915091235167,21.237139150953453,21.409690856933594,832842,0.0,0.0
2018-02-01,21.46941932969959,21.635335207618432,21.2504118050639,21.476055145263672,646813,0.0,0.0
2018-02-02,21.396418660163548,21.416328670066033,20.89203643798828,20.89203643798828,581871,0.0,0.0
2018-02-05,20.8920386956316,20.8920386956316,20.427476443059604,20.52702522277832,592413,0.0,0.0
2018-02-06,19.843449983248117,20.162007548629582,19.65762537705113,19.704082489013672,1554948,0.0,0.0
2018-02-07,19.956274459330324,19.956274459330324,19.53816810302747,19.856725692749023,949072,0.0,0.0
2018-02-08,19.664263744902325,19.677536657513823,18.947511097267828,19.053695678710938,1605135,0.0,0.0
2018-02-09,18.88777998296934,19.0669687748438,18.582495327162814,18.801504135131836,943846,0.0,0.0
2018-02-12,18.99396583213037,19.139970423506963,18.947510000403874,19.073604583740234,611676,0.0,0.0
2018-02-13,19.106789773985277,19.106789773985277,18.42985582293612,18.436492919921875,1300129,0.0,0.0
2018-02-14,18.582494090728616,18.947508746389794,18.542675357834565,18.828048706054688,973365,0.0,0.0
2018-02-15,19.12006260885716,19.285978507858378,18.847962122378668,18.980693817138672,757587,0.0,0.0
2018-02-16,19.13333571833827,19.511623357273887,18.980694011689458,19.080244064331055,1217894,0.0,0.0
2018-02-19,19.159883726713865,19.159883726713865,18.828053190260064,18.907691955566406,618188,0.0,0.0
2018-02-20,18.914329205439625,19.418711471250838,18.907692108047534,19.332435607910156,681921,0.0,0.0
2018-02-21,19.31252433458989,19.31252433458989,18.960785087365643,18.980693817138672,755797,0.0,0.0
2018-02-22,18.788231020576866,18.8479610481453,18.509494733577586,18.72850227355957,1002651,0.0,0.0
2018-02-23,18.76832379028243,18.960785520410795,18.595772070933037,18.881145477294922,669738,0.0,0.0
2018-02-26,18.98732903387754,19.11342489974363,18.93423610512082,19.033784866333008,682734,0.0,0.0
2018-02-27,19.100151389511737,19.27270180187826,18.980691343137064,19.11342430114746,535375,0.0,0.0
2018-02-28,18.927598718512833,19.000601654502507,18.761684119037273,18.801504135131836,1162168,0.0,0.0
2018-03-01,19.053696362985434,19.418709796492713,18.62895418030582,18.808141708374023,1714059,0.0,0.0
2018-03-02,18.64885875015998,18.701950387025292,18.22411541083094,18.27720832824707,998381,0.0,0.0
2018-03-05,18.224119636404723,18.35685132044575,18.05156793493094,18.177663803100586,1900565,0.0,0.0
2018-03-06,18.343577173069797,18.38339718782145,17.985200881958008,17.985200881958008,2448173,0.0,0.0
2018-03-07,17.918836197710256,18.111296626778113,17.6998273830312,18.07147789001465,1136645,0.0,0.0
2018-03-08,18.323664991907314,19.929724216781107,18.323664991907314,19.471797943115234,2439635,0.0,0.0
2018-03-09,19.518258543553053,20.055822372436523,19.34570556271683,20.055822372436523,1800397,0.0,0.0
2018-03-12,20.162012200595512,20.513752766792162,19.850091659396956,20.48056983947754,1603919,0.0,0.0
2018-03-13,20.480568673888143,21.17077557163348,20.215103989927904,20.34119987487793,2165970,0.0,0.0
2018-03-14,22.033534811743863,22.046809006727614,21.51587962391726,21.960533142089844,2987493,0.0,0.0
2018-03-15,21.9671667012133,22.033532547105587,21.628699094390978,21.8941650390625,1947248,0.0,0.0
2018-03-16,21.602155637181976,22.05344497540007,21.56897143004561,21.95389747619629,1767850,0.0,0.0
2018-03-19,21.880888917948994,22.026894790491273,21.529149709594453,21.542421340942383,2236016,0.0,0.0
2018-03-20,21.52915006419805,21.854343454110797,21.52915006419805,21.63533592224121,1941953,0.0,0.0
2018-03-21,21.648610308862732,22.00035212887644,21.5756086426499,21.734886169433594,844040,0.0,0.0
2018-03-22,21.56896952871132,21.821161285188147,21.442874931024125,21.495967864990234,1234769,0.0,0.0
2018-03-23,21.184045505732737,21.310141372944845,20.79248627245442,20.951765060424805,1707209,0.0,0.0
2018-03-26,21.031401834858755,21.250410627913674,20.779210124168422,20.845577239990234,704663,0.0,0.0
2018-03-27,21.223865454250912,21.283595479753377,20.885397870839146,21.117679595947266,8597187,0.0,0.0
2018-03-28,20.872123869075818,21.217227250271268,20.553566310794924,21.137588500976562,1245596,0.0,0.0
2018-03-29,21.19731781285404,21.330050772649418,21.00485610961914,21.00485610961914,1446271,0.0,0.0
2018-04-03,20.666390364449803,20.958400834876908,20.57347869873047,20.57347869873047,1723478,0.0,0.0
2018-04-04,20.57347822169338,20.639844061540114,20.281466477486052,20.56684112548828,2031863,0.0,0.0
2018-04-05,20.918581858681677,21.42959985593586,20.865488930071376,21.3167781829834,685407,0.0,0.0
2018-04-06,21.263685977589674,21.316778908005762,21.018131334484156,21.177410125732422,985078,0.0,0.0
2018-04-09,21.2902310784027,21.54242152888832,21.2769581663879,21.3167781829834,789901,0.0,0.0
2018-04-10,21.834431270580097,22.086622978447817,21.675151218831246,22.000347137451172,1486207,0.0,0.0
2018-04-11,22.053442405570554,22.099898241265965,21.84770905304769,21.900800704956055,809896,0.0,0.0
2018-04-12,21.920710914136915,22.066716799866857,21.79461503832935,21.97380256652832,507071,0.0,0.0
2018-04-13,21.953895314219576,22.332180383925955,21.953895314219576,22.073352813720703,482395,0.0,0.0
2018-04-16,22.325543200987582,22.458274886131715,22.113171480316073,22.212718963623047,678485,0.0,0.0
2018-04-17,22.232626304128466,22.524638025279888,22.159624654391582,22.51799964904785,2399740,0.0,0.0
2018-04-18,22.53791593080713,22.69719344789138,22.511367543707788,22.657373428344727,552664,0.0,0.0
2018-04-19,22.677282033700674,22.76355788367452,22.584370367914133,22.71710205078125,1378629,0.0,0.0
2018-04-20,22.697193645696586,22.863109541552802,22.610917789627734,22.75692367553711,481924,0.0,0.0
2018-04-23,22.73701450967133,22.883020401000977,22.597644434869512,22.883020401000977,503093,0.0,0.0
2018-04-24,22.889651742793312,22.92947175638078,22.69055423595795,22.82992172241211,466340,0.0,0.0
2018-04-25,22.71710124623848,22.796741277579123,22.37863367414287,22.69719123840332,524772,0.0,0.0
2018-04-26,22.697194724094274,23.06220817565918,22.630828874819066,23.06220817565918,1172439,0.0,0.0
2018-04-27,23.075478807057486,23.141847214553895,22.92283710424102,22.969295501708984,569531,0.0,0.0
2018-04-30,23.029021519697277,23.294487449649452,22.989204063251574,23.248031616210938,811164,0.0,0.0
2018-05-02,23.3276662673427,23.666133814440258,23.3276662673427,23.559947967529297,696976,0.0,0.0
2018-05-03,23.52676573178904,23.78559327501158,23.460402453175313,23.666135787963867,575414,0.0,0.0
2018-05-04,23.666136049519075,23.951509419561443,23.626316033029042,23.84532356262207,768046,0.0,0.0
2018-05-07,24.037784190502855,24.190425872802738,23.82541248614596,24.190425872802734,720289,0.0,0.0
2018-05-08,24.031148375086094,24.356341747038194,23.798866663376863,24.190425872802734,2327004,0.0,0.0
2018-05-09,24.064332960713386,24.190426261166476,23.88514289166556,24.037784576416016,718305,0.0,0.0
2018-05-10,24.024514499012135,24.190427825538645,23.433855168382806,23.971420288085938,427805,0.0,0.0
2018-05-11,24.09087875424413,24.435982138664066,24.06433293108154,24.283340454101562,2901425,0.0,0.0
2018-05-14,24.316522655144343,24.429344327021127,24.157245151383126,24.42270851135254,1541713,0.0,0.0
2018-05-15,24.42270499429413,24.542165025738488,24.19042330722018,24.409433364868164,1348774,0.0,0.0
