Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02,144.30342897041524,145.84312438964844,143.7474340103127,145.84312438964844,88227,0.0,0.0
2018-01-03,145.58652414387714,147.98160475026302,145.58652414387714,147.46836853027344,88684,0.0,0.0
2018-01-04,148.40930428618879,150.76161314375085,147.98161176663203,150.03453063964844,136801,0.0,0.0
2018-01-05,150.3339087320536,151.70252990722656,149.9489881053296,151.70252990722656,134693,0.0,0.0
2018-01-08,151.57422469990252,152.68622784928888,150.76161153186086,152.47238159179688,126313,0.0,0.0
2018-01-09,152.5151485965443,153.7554542400697,151.95914051348853,153.24221801757812,122592,0.0,0.0
2018-01-10,152.60068275490536,153.0711471275904,149.820681432477,150.1200714111328,149657,0.0,0.0
2018-01-11,150.0772995495906,151.18930268898987,149.09361199481793,150.1200714111328,110350,0.0,0.0
2018-01-12,150.16284298645968,150.71883802902977,148.79422173255543,149.43576049804688,93621,0.0,0.0
2018-01-15,149.4785248791617,149.4785248791617,148.32374993820963,148.5803680419922,56554,0.0,0.0
2018-01-16,149.39298759387538,153.4133076046064,149.39298759387538,152.17298889160156,178234,0.0,0.0
2018-01-17,151.61697240758298,153.2849703398623,151.36035432904671,151.6597442626953,109386,0.0,0.0
2018-01-18,151.61697830348865,152.17297328515676,149.90620844957058,150.16282653808594,88524,0.0,0.0
2018-01-19,149.6923643850398,152.77175538753025,149.52129000759885,151.48867797851562,79928,0.0,0.0
2018-01-22,151.95912902990236,153.19944763183594,151.78805465271307,153.19944763183594,129850,0.0,0.0
2018-01-23,153.84099415227948,153.9692966786561,151.70253169840925,152.3440704345703,85637,0.0,0.0
2018-01-24,151.95912538131535,153.2422027576354,151.74527915192868,151.91636657714844,69055,0.0,0.0
2018-01-25,152.55791279326425,154.18313899594438,152.13022031338645,152.77175903320312,112479,0.0,0.0
2018-01-26,152.7289816845588,152.90005605993247,150.46220379140834,150.84713745117188,113053,0.0,0.0
2018-01-29,151.36038226855396,151.36038226855396,148.96530151367188,148.96530151367188,119665,0.0,0.0
2018-01-30,148.06715471618188,150.16284544060977,147.38284407804588,149.05084228515625,162186,0.0,0.0
2018-01-31,148.87975206623813,150.6760526167833,148.87975206623813,150.07728576660156,168989,0.0,0.0
2018-02-01,150.07728817413562,151.10374751264763,148.5803644985985,149.69236755371094,131434,0.0,0.0
2018-02-02,149.39298179104006,149.39298179104006,146.99791428466477,147.5539093017578,119710,0.0,0.0
2018-02-05,146.27084395730282,146.35638768339706,144.56007385253906,144.56007385253906,142419,0.0,0.0
2018-02-06,141.05298759599725,142.8920732596416,139.42776124406956,140.53976440429688,213877,0.0,0.0
2018-02-07,140.83913175264325,143.148681640625,140.2831367364337,143.148681640625,628587,0.0,0.0
